273;219;263;161
823;314;806;314
804;314;791;314
314;136;314;149
649;151;649;136
654;136;654;151
319;250;319;258
343;314;334;314
120;16;75;7
623;406;624;371
946;289;935;289
838;289;823;289
686;289;676;289
314;156;314;173
429;158;429;171
1104;300;1104;309
1136;284;1144;284
954;309;968;308
519;159;519;151
263;259;273;220
420;215;419;228
206;369;220;369
419;156;419;169
420;195;417;213
331;314;280;314
406;299;420;299
29;538;44;540
774;389;784;389
494;291;494;301
209;313;119;313
169;369;169;379
571;299;591;299
831;229;811;229
419;170;419;186
556;454;529;454
664;419;628;419
73;7;34;13
58;0;110;7
492;354;484;355
511;264;484;264
584;464;541;464
659;300;658;291
124;381;124;349
529;244;529;254
403;376;404;361
268;161;277;205
277;225;268;264
28;8;58;2
529;176;529;238
658;221;659;199
659;254;659;231
503;219;481;219
808;256;809;238
170;514;144;514
659;278;659;265
503;204;483;204
1228;400;1236;398
504;453;503;443
111;8;132;16
1043;449;1031;449
571;304;591;304
1089;393;1089;406
474;398;475;410
514;124;529;124
658;179;659;165
809;223;808;209
1118;244;1096;244
608;430;588;431
181;387;171;390
1273;209;1290;209
769;364;768;353
1148;264;1131;264
22;23;10;82
989;315;975;315
308;173;308;131
525;289;525;308
673;288;673;308
365;212;366;222
603;410;603;386
530;146;530;156
1098;311;1098;296
365;174;365;201
483;308;483;294
309;130;318;130
388;390;387;361
695;313;705;312
678;146;678;156
613;308;629;309
365;253;366;260
221;311;378;310
973;315;955;315
1011;355;1003;355
365;225;365;243
400;350;413;350
673;313;656;313
788;308;799;307
315;269;314;258
651;313;645;312
422;164;423;158
814;284;832;282
640;313;623;311
128;353;161;352
935;283;953;283
524;313;503;313
406;200;379;200
421;354;414;356
413;355;403;355
415;256;415;246
360;423;351;423
824;299;823;308
951;352;1003;353
1001;325;1010;325
496;313;485;313
415;366;416;377
990;290;990;301
953;294;952;309
6;51;27;7
1109;296;1109;305
1260;264;1236;264
178;355;126;356
501;285;490;285
1101;425;1086;426
688;514;666;514
525;219;514;219
225;360;225;371
508;455;480;454
1176;377;1225;377
373;172;411;172
1120;268;1120;283
477;248;478;204
418;223;375;223
465;399;465;411
418;175;403;176
1273;272;1293;272
203;419;202;408
1094;290;1086;290
489;290;488;305
309;404;321;403
474;364;474;390
1319;475;1319;426
719;395;719;424
209;310;208;288
674;403;674;389
954;356;954;368
401;227;418;227
580;408;579;431
831;274;813;274
579;368;579;408
833;411;855;407
911;408;923;410
339;360;339;375
606;444;586;444
645;444;626;444
710;445;699;444
483;276;482;266
726;139;704;139
1239;314;1215;314
529;261;529;276
240;379;250;378
1334;514;1244;514
829;373;818;375
978;209;996;209
815;354;784;354
1155;314;1124;316
674;383;673;368
636;514;625;514
1075;449;1063;449
1331;314;1316;314
143;514;126;514
477;190;477;164
661;123;676;124
483;164;503;164
503;234;481;234
525;234;515;234
525;249;515;249
525;204;513;204
503;249;486;249
408;384;421;383
674;209;663;209
814;194;831;193
1115;264;1093;264
7;85;7;53
1313;337;1329;338
806;379;796;379
663;239;681;238
664;259;680;259
1334;384;1333;373
635;258;648;259
1286;264;1275;264
624;259;634;258
823;289;823;296
1293;244;1279;244
526;309;591;309
1146;244;1129;244
1138;362;1119;356
653;451;652;444
1071;435;1056;435
415;265;414;259
477;156;477;136
497;305;498;291
320;201;356;200
189;352;204;352
157;400;157;386
363;203;319;203
378;313;344;313
166;352;178;352
705;428;718;427
630;358;651;351
538;445;533;424
328;302;332;289
365;260;363;266
279;365;300;365
415;218;415;209
498;281;508;285
396;175;378;175
718;375;722;383
325;278;320;279
160;421;160;460
396;231;378;230
204;407;215;408
1265;163;1265;191
1262;189;1262;163
480;168;480;179
462;388;462;374
465;374;465;388
378;227;396;227
1070;391;1070;423
1067;423;1067;391
1265;235;1265;256
570;399;570;410
157;460;157;423
1093;227;1115;227
1131;227;1146;227
567;388;567;373
568;410;567;399
570;373;570;388
989;356;955;355
1236;227;1260;227
940;371;950;373
390;361;390;374
481;220;480;230
1088;515;1075;515
1281;227;1291;227
1217;398;1217;381
1220;381;1220;400
1262;256;1262;235
916;303;898;303
654;354;631;360
295;515;284;515
681;322;711;322
413;230;401;231
1108;422;1136;422
387;418;387;406
391;406;390;421
160;365;160;379
1115;230;1091;230
711;325;681;325
1146;230;1131;230
1000;366;990;365
1260;230;1236;230
1291;230;1281;230
1138;389;1137;379
1262;221;1262;204
1265;201;1265;224
996;275;978;275
1184;435;1171;435
1184;380;1171;380
157;379;157;366
324;412;335;413
1055;450;1055;486
1216;380;1189;380
898;301;910;300
1052;481;1052;450
1078;512;1088;512
284;512;295;512
235;201;224;200
1109;275;1096;275
1109;160;1095;161
1332;475;1332;451
1335;451;1335;475
480;144;480;156
951;376;940;374
1173;432;1185;432
1055;433;1068;432
1136;425;1105;425
1095;157;1108;157
626;192;648;192
963;377;974;377
1264;275;1236;275
666;192;681;192
160;390;160;400
979;272;996;272
813;207;830;207
718;431;700;430
648;195;626;195
1283;275;1273;276
1117;475;1117;459
1120;459;1120;475
681;196;664;195
830;210;813;210
1096;272;1109;272
1335;501;1335;513
588;427;601;427
1236;272;1264;272
613;388;613;405
1323;341;1313;340
399;197;409;199
979;285;987;284
262;161;222;114
1085;404;1090;370
856;410;834;413
565;438;553;438
790;374;786;360
863;312;851;313
955;421;944;418
1151;435;1136;435
1099;433;1108;433
381;185;415;185
5;90;170;263
1237;471;1237;459
1268;298;1280;292
238;120;270;162
